OBJECTID,ID,Xindex,Yindex,Qerror,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,identifier,identifi_1,title,year,author,degree_gra,degree_sup,language,x,y
1,6,32,2,0.106957,0.000109,0.000202,0.000124,0.000142,8.4E-05,9.1E-05,0.000146,0.001525,0.000107,0.00024,9.2E-05,9.2E-05,6.9E-05,0.000259,0.000208,0.000154,8.2E-05,0.000306,5.7E-05,0.000421,0.012159,0.000125,0.000114,5.7E-05,7.4E-05,0.163639,0.325171,8.8E-05,0.000146,2.1E-05,0.000365,0.122158,0.000155,6.8E-05,5.5E-05,8.6E-05,0.036225,0.221185,7.4E-05,0.00013,7.8E-05,5.8E-05,0.000161,0.000108,6.6E-05,0.000103,0.012131,0.000123,0.00045,0.000226,6.7E-05,4.1E-05,5.2E-05,7.1E-05,0.000609,8.2E-05,6.9E-05,0.000115,9.5E-05,0.00018,0.000176,0.090624,0.000124,0.006165,0.000124,0.000144,6.3E-05,0.000108,0.000106,0.000738,0.00014,f3vt1rxd,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3vt1rxd,Sensor Fusion with Conditional Random Fields,2016,"Rahimi, Amir Mohaymen","University of California, Santa Barbara. Electrical and Computer Engineering",B.S. Manjunath,English,0.000286409862047607,1.45868435635219E-05
2,7,29,27,0.1098,0.000136,0.000251,0.000155,0.000177,0.045149,0.000113,0.000183,0.001903,0.000133,0.0003,0.000115,0.000114,8.6E-05,0.000323,0.007766,0.000192,0.000102,0.007889,7.1E-05,0.000526,0.000156,0.000157,0.000143,7.1E-05,9.2E-05,0.076555,0.000339,0.000109,0.000182,0.105127,0.000455,0.092363,0.000194,8.4E-05,6.9E-05,0.000107,0.000156,0.215924,9.2E-05,0.000163,9.7E-05,7.2E-05,0.255447,0.000134,8.2E-05,0.000128,0.000122,0.000153,0.135692,0.000282,8.4E-05,5.1E-05,6.5E-05,8.8E-05,0.00076,0.000103,8.6E-05,0.000144,0.000119,0.000225,0.00022,0.000467,0.000154,0.000185,0.000154,0.000179,7.9E-05,0.045178,0.000132,0.00092,0.000175,f3zk5gg9,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3zk5gg9,Tuning Electrostatic Interactions in Confined Soft Matter,2016,"Gebbie, Matthew Allen","University of California, Santa Barbara. Materials",Jacob N. Israelachvili,English,0.000262911730839076,0.000209959638090211
3,8,26,38,0.168935,8.4E-05,0.000155,9.5E-05,0.027861,6.5E-05,7E-05,0.000112,0.038174,8.2E-05,0.000185,7.1E-05,7E-05,5.3E-05,0.000199,0.00016,0.000118,6.3E-05,0.000235,4.4E-05,0.000324,9.6E-05,9.6E-05,0.420985,4.4E-05,5.7E-05,0.000914,0.000209,6.7E-05,0.000112,1.6E-05,0.00028,0.172536,0.000119,5.2E-05,4.2E-05,6.6E-05,9.6E-05,0.123781,5.7E-05,0.004725,6E-05,4.4E-05,0.129631,8.3E-05,5.1E-05,7.9E-05,7.5E-05,9.4E-05,0.000346,0.000174,5.2E-05,3.2E-05,4E-05,5.4E-05,0.000468,6.3E-05,5.3E-05,8.9E-05,7.3E-05,0.000138,0.000136,0.004913,9.5E-05,0.000114,9.5E-05,0.00011,4.9E-05,0.069461,8.2E-05,0.000567,0.000108,f39s1qvs,https://www.alexandria.ucsb.edu/lib/ark:/48907/f39s1qvs,Probing forces generated and architectures mediated by Tau on microtubules,2016,"Chung, Peter Jinwoo","University of California, Santa Barbara. Physics",Cyrus R. Safinya,English,0.000231882124298874,0.000296223956506003
4,9,39,32,0.261351,8.5E-05,0.000157,9.7E-05,0.000111,6.6E-05,7.1E-05,0.000114,0.001189,8.3E-05,0.000187,7.2E-05,0.107949,5.3E-05,0.000202,0.000162,0.00012,6.4E-05,0.009619,4.4E-05,0.000329,9.8E-05,0.009478,8.9E-05,4.4E-05,5.8E-05,0.014998,0.000212,6.8E-05,0.000114,1.6E-05,0.000284,0.034255,0.000121,5.3E-05,4.3E-05,6.7E-05,9.8E-05,0.313136,5.8E-05,0.000102,6.1E-05,4.5E-05,0.000126,0.426903,5.2E-05,8E-05,7.6E-05,9.6E-05,0.019112,0.000176,5.2E-05,3.2E-05,4.1E-05,5.5E-05,0.052069,6.4E-05,5.4E-05,9E-05,7.4E-05,0.00014,0.000137,0.004982,9.6E-05,0.000116,9.6E-05,0.000112,4.9E-05,8.4E-05,8.3E-05,0.000575,0.00011,f3xk8fcc,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3xk8fcc,III-Nitride Vertical-Cavity Surface-Emitting Lasers,2016,"Leonard, John T.","University of California, Santa Barbara. Materials",Shuji Nakamura,English,0.000351375125071601,0.000247227145976047
5,10,40,18,0.177076,0.000174,0.000321,0.000198,0.000227,0.000135,0.000145,0.000233,0.002432,0.00017,0.019576,0.000147,0.000146,0.000109,0.000413,0.000331,0.000245,0.038517,0.000488,9.1E-05,0.000672,0.0002,0.374462,0.000183,9.1E-05,0.000118,0.203422,0.000433,0.00014,0.000232,3.3E-05,0.000582,0.060489,0.009844,0.000108,8.8E-05,0.000136,0.0002,0.18005,0.000118,0.000208,0.000124,9.2E-05,0.000257,0.000172,0.000105,0.000164,0.000156,0.000196,0.0487,0.00036,0.000107,6.6E-05,8.3E-05,0.000113,0.000972,0.000131,0.00011,0.000184,0.000152,0.000287,0.000281,0.029386,0.000197,0.019429,0.000197,0.000229,0.000101,0.000172,0.000169,0.001176,0.000224,f31c1wqf,https://www.alexandria.ucsb.edu/lib/ark:/48907/f31c1wqf,Building an Optomechanical Interface for Superconducting Qubits,2016,"Vainsencher, Amit S.","University of California, Santa Barbara. Physics",Andrew N. Cleland,English,0.000358207711128182,0.00014125648514336
6,11,37,10,0.176073,0.000131,0.000242,0.000149,0.000171,0.000101,0.000109,0.000176,0.001834,0.000128,0.000289,0.000111,0.00011,8.3E-05,0.000312,0.00025,0.000185,9.9E-05,0.000368,6.9E-05,0.000507,0.000151,0.000151,0.000138,6.9E-05,8.9E-05,0.088257,0.036505,0.000105,0.000175,2.5E-05,0.000439,0.00943,0.000187,8.1E-05,0.238842,0.000103,0.000151,0.215348,8.9E-05,0.000157,9.3E-05,7E-05,0.000194,0.00013,8E-05,0.000124,0.000117,0.000148,0.080133,0.072628,8.1E-05,4.9E-05,6.3E-05,8.5E-05,0.000733,9.9E-05,8.3E-05,0.000139,0.000114,0.000216,0.000212,0.224755,0.000149,0.000178,0.000149,0.000173,7.6E-05,0.000129,0.000128,0.022594,0.000169,f3rv0nht,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3rv0nht,"Co-Optimization of Communication, Motion and Sensing in Mobile Robotic Operations",2016,"Yan, Yuan","University of California, Santa Barbara. Electrical and Computer Engineering",Yasamin Mostofi,English,0.000335025786897948,7.78462059099008E-05
7,12,0,22,0.127126,0.000125,0.000232,0.000143,0.000164,9.7E-05,0.000105,0.000169,0.03643,0.013992,0.000277,0.000106,0.000106,7.9E-05,0.125121,0.000239,0.000177,9.5E-05,0.589791,6.6E-05,0.000486,0.000144,0.000145,0.000132,6.6E-05,8.5E-05,0.00137,0.000313,0.000101,0.000168,2.4E-05,0.00042,0.009037,0.000179,7.8E-05,6.4E-05,9.9E-05,0.000144,0.171715,8.5E-05,0.00015,9E-05,6.7E-05,0.000186,0.000124,7.6E-05,0.000118,0.000112,0.000142,0.007453,0.00026,7.8E-05,4.7E-05,6E-05,8.1E-05,0.035375,9.5E-05,7.9E-05,0.000133,0.00011,0.000207,0.000203,0.000431,0.000142,0.000171,0.000143,0.000166,7.3E-05,0.000124,0.000122,0.00085,0.000162,f3n29wsv,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3n29wsv,Novice Principals' Views of Instructional Leadership and Organizational Improvement : Two Case Studies,2016,"Barnitz, Elizabeth D.","University of California, Santa Barbara. Education",Sharon Conley,English,5.92888084306258E-08,0.000168475438272944
8,17,5,16,0.129729,0.000154,0.000286,0.000176,0.000202,0.00012,0.332879,0.000208,0.044823,0.000151,0.000341,0.00013,0.00013,9.7E-05,0.008899,0.000295,0.000218,0.000116,0.000434,8.1E-05,0.137111,0.000178,0.000178,0.000162,8.1E-05,0.000105,0.01875,0.000385,0.000124,0.000207,2.9E-05,0.000517,0.002587,0.00022,9.6E-05,7.8E-05,0.000121,0.000178,0.177144,0.000105,0.000185,0.00011,8.2E-05,0.000229,0.000153,9.4E-05,0.042806,0.000138,0.000174,0.000638,0.00032,9.6E-05,5.8E-05,7.4E-05,0.0001,0.000864,0.000117,9.8E-05,0.000164,0.000135,0.042915,0.00025,0.000531,0.000175,0.008742,0.000175,0.000204,9E-05,0.000153,0.00015,0.154623,0.017263,f3571bsk,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3571bsk,Family Values at Work : Social Movements and the Politics of Leave Legislation in the U.S,2016,"Engeman, Cassandra","University of California, Santa Barbara. Sociology","Maria Charles, Fernando Lopez-Alves",English,4.25208556441102E-05,0.000123703404491753
9,18,25,5,0.247997,7.8E-05,0.000144,8.8E-05,0.000101,6E-05,6.5E-05,0.000104,0.06112,7.6E-05,0.004459,0.25735,6.5E-05,4.9E-05,0.000185,0.000148,0.000109,5.9E-05,0.004506,4.1E-05,0.004588,8.9E-05,8.9E-05,8.2E-05,4.1E-05,5.3E-05,0.08232,0.055938,6.3E-05,0.000104,1.5E-05,0.00026,0.0013,0.000111,4.8E-05,3.9E-05,6.1E-05,8.9E-05,0.2434,5.3E-05,9.3E-05,5.5E-05,4.1E-05,0.000115,7.7E-05,4.7E-05,7.3E-05,7E-05,8.8E-05,0.008897,0.266021,4.8E-05,2.9E-05,3.7E-05,5E-05,0.000434,5.9E-05,4.9E-05,8.2E-05,6.8E-05,0.000128,0.000126,0.004555,8.8E-05,0.000106,8.8E-05,0.000102,4.5E-05,7.7E-05,7.6E-05,0.000526,0.0001,f34749pn,https://www.alexandria.ucsb.edu/lib/ark:/48907/f34749pn,Mining Disparate Sources for Question Answering,2016,"Sun, Huan","University of California, Santa Barbara. Computer Science",Xifeng Yan,English,0.000230429548458859,3.75873081172253E-05
10,19,9,38,0.254428,0.000172,0.000318,0.000196,0.000225,0.000133,0.000143,0.000231,0.230535,0.000168,0.00038,0.000145,0.000145,0.000108,0.009915,0.095381,0.000243,0.00013,0.000483,9E-05,0.000666,0.000198,0.000198,0.000181,9E-05,0.000117,0.068414,0.000429,0.000139,0.00023,3.2E-05,0.000576,0.173977,0.000245,0.152191,8.7E-05,0.000135,0.218819,0.007244,0.000117,0.000206,0.000123,9.1E-05,0.000255,0.00017,0.000104,0.000162,0.000154,0.000194,0.000711,0.000357,0.000106,6.5E-05,8.3E-05,0.000112,0.000963,0.00013,0.000109,0.000182,0.00015,0.000284,0.000279,0.000591,0.000195,0.000234,0.000195,0.000227,0.0001,0.00017,0.000168,0.029681,0.000222,f3gh9hrs,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3gh9hrs,Physiological Responses to Perceived Exergame Task Demands,2016,"Cornick, Jessica E.","University of California, Santa Barbara. Psychology",James Blascovich,English,8.22955614947585E-05,0.000293976371664026
11,20,0,17,0.141145,8.9E-05,0.000164,0.000101,0.000116,6.9E-05,7.4E-05,0.000119,0.040417,0.009881,0.000196,7.5E-05,7.5E-05,5.6E-05,0.000211,0.073625,0.000125,6.7E-05,0.112881,4.6E-05,0.323548,0.000102,0.000102,9.3E-05,4.6E-05,6E-05,0.000967,0.000221,7.1E-05,0.000119,1.7E-05,0.000297,0.006382,0.024611,5.5E-05,4.5E-05,7E-05,0.000102,0.233893,6E-05,0.000106,6.3E-05,4.7E-05,0.000131,8.8E-05,5.4E-05,8.4E-05,7.9E-05,0.0001,0.000366,0.000184,5.5E-05,3.3E-05,4.3E-05,5.7E-05,0.127819,6.7E-05,5.6E-05,9.4E-05,7.7E-05,0.000146,0.000143,0.000305,0.000101,0.000121,0.000101,0.000117,0.01964,8.8E-05,8.6E-05,0.020188,0.000114,f3tt4qrk,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3tt4qrk,The FORUM : aresponse to Paradigm Shift From State to Global Governance Field,2016,"Armanino, Daniel Carl","University of California, Santa Barbara. Sociology",John W. Mohr,English,3.07403490081132E-06,0.000130239546508854
12,22,41,17,0.20432,0.00011,0.000204,0.000125,0.000144,8.5E-05,9.2E-05,0.000148,0.013723,0.000108,0.000243,9.3E-05,9.3E-05,6.9E-05,0.000262,0.00021,0.000155,8.3E-05,0.012489,5.8E-05,0.000427,0.000127,0.566492,0.000116,5.8E-05,7.5E-05,0.043833,0.000275,8.9E-05,0.000147,2.1E-05,0.000369,0.239355,0.000157,6.8E-05,5.6E-05,8.7E-05,0.000127,0.047271,7.5E-05,0.000132,7.9E-05,5.9E-05,0.000163,0.000109,6.7E-05,0.000104,9.9E-05,0.000124,0.000456,0.000229,6.8E-05,4.2E-05,5.3E-05,7.1E-05,0.000617,8.3E-05,7E-05,0.000117,9.6E-05,0.000182,0.000178,0.000379,0.067115,0.00015,0.000125,0.000145,6.4E-05,0.000109,0.000107,0.000747,0.000142,f32b8xv8,https://www.alexandria.ucsb.edu/lib/ark:/48907/f32b8xv8,Ultra-Narrow Bandwidth Optical Resonators for Integrated Low Frequency Noise Lasers,2016,"Spencer, Daryl T.","University of California, Santa Barbara. Electrical and Computer Engineering",John E. Bowers,English,0.000374680118470754,0.000130385971905669
13,24,33,0,0.15355,0.000141,0.000261,0.000161,0.000184,0.000109,0.000118,0.00019,0.001977,0.000138,0.000312,0.000119,0.000119,8.9E-05,0.000336,0.000269,0.000199,0.000106,0.000396,7.4E-05,0.000546,0.000162,0.000163,0.000148,7.4E-05,9.6E-05,0.274541,0.483952,0.000114,0.000189,2.7E-05,0.000473,0.033565,0.000201,8.8E-05,7.2E-05,0.000111,0.000162,0.130745,9.6E-05,0.000169,0.000101,7.5E-05,0.000209,0.00014,8.6E-05,0.000133,0.000127,0.000159,0.000584,0.008093,8.7E-05,5.3E-05,6.8E-05,9.2E-05,0.00079,0.000107,8.9E-05,0.00015,0.000123,0.000233,0.000229,0.031685,0.00016,0.000192,0.00016,0.000186,0.023482,0.00014,0.000138,0.000956,0.000182,f3wm1d7j,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3wm1d7j,Modeling and Calibrating the Distributed Camera,2016,"Sweeney, Christopher M.","University of California, Santa Barbara. Computer Science","Tobias Hollerer, Matthew Turk",English,0.000293781437262613,1.89544520130882E-07
