FID,ID,Xindex,Yindex,Qerror,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,identifier,identifi_1,title,year,author,degree_gra,degree_sup,language,x,y
1,201,31,7,0.182602,0.000186,0.000345,0.000212,0.000243,0.000144,0.000155,0.00025,0.002607,0.01047,0.000411,0.000157,0.000157,0.000117,0.000443,0.000355,0.000263,0.00014,0.000523,9.8E-05,0.000721,0.000214,0.000214,0.010483,9.8E-05,0.000126,0.125483,0.000464,0.00015,0.000249,3.5E-05,0.000624,0.033982,0.000265,0.380754,9.4E-05,0.000146,0.000214,0.244454,0.000126,0.000223,0.000133,9.9E-05,0.000276,0.000184,0.000113,0.000176,0.000167,0.00021,0.00077,0.113549,0.000115,7E-05,8.9E-05,0.000121,0.042192,0.000141,0.000118,0.000197,0.000163,0.020883,0.000301,0.00064,0.000211,0.000254,0.000211,0.000246,0.000109,0.000184,0.000181,0.001261,0.00024,f3bp0106,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3bp0106,Analyzing and Defending Against Evolving Web Threats,2015,"Kapravelos, Alexandros","University of California, Santa Barbara. Computer Science - Engineering",Giovanni Vigna,English,31.233952804424,5.96131446888446
2,202,12,0,0.122819,4.5E-05,0.019777,5.1E-05,5.8E-05,3.5E-05,0.11328,6E-05,0.000624,4.4E-05,9.8E-05,3.8E-05,3.7E-05,2.8E-05,0.000106,0.017318,6.3E-05,3.4E-05,0.000125,2.3E-05,0.000172,5.1E-05,5.1E-05,4.7E-05,0.014794,3E-05,0.025104,0.000111,3.6E-05,6E-05,8E-06,0.320185,0.003208,6.3E-05,2.8E-05,2.3E-05,3.5E-05,5.1E-05,0.196359,3E-05,5.3E-05,3.2E-05,2.4E-05,6.6E-05,4.4E-05,2.7E-05,0.002504,4E-05,5E-05,0.000184,9.2E-05,2.8E-05,1.7E-05,2.1E-05,2.9E-05,0.034715,3.4E-05,2.8E-05,4.7E-05,3.9E-05,0.04931,7.2E-05,0.000153,5.1E-05,0.002522,0.014821,5.9E-05,2.6E-05,4.4E-05,4.3E-05,0.182476,5.7E-05,f30k26rr,https://www.alexandria.ucsb.edu/lib/ark:/48907/f30k26rr,Over the Line : Critical Media Technologies of the Trans-American Hyperborder,2015,"Brousseau, Marcel Paul","University of California, Santa Barbara. Comparative Literature",Rita Raley,English,11.8282179299548,-0.145590073039933
3,203,7,4,0.225906,0.000147,0.000272,0.000167,0.000192,0.000114,0.000122,0.000197,0.002057,0.000144,0.000324,0.000124,0.000124,9.3E-05,0.000349,0.00028,0.000207,0.000111,0.000413,7.7E-05,0.024918,0.000169,0.000169,0.000154,7.7E-05,0.0001,0.001603,0.000366,0.000118,0.000197,2.8E-05,0.000492,0.034927,0.000209,9.1E-05,7.4E-05,0.000115,0.000169,0.152284,0.0001,0.000176,0.000105,7.8E-05,0.000218,0.000145,8.9E-05,0.000139,0.000132,0.065098,0.000607,0.000305,9.1E-05,5.5E-05,7.1E-05,9.5E-05,0.000822,0.000111,9.3E-05,0.000156,0.000128,0.000243,0.000238,0.000505,0.000167,0.0002,0.000167,0.000194,8.6E-05,0.000145,0.357271,0.350007,0.00019,f3n58jj7,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3n58jj7,The Ties That Cross Lines : Transracial and Transnational Business Partnerships in the South African Township Bed and Breakfast Market,2015,"Hikido, Annie","University of California, Santa Barbara. Sociology",France Winddance Twine,English,7.04504920078523,3.73108652903668
4,204,13,25,0.100214,6.1E-05,0.000113,7E-05,8E-05,4.7E-05,0.016988,8.2E-05,0.170232,6E-05,0.000135,5.2E-05,5.2E-05,3.9E-05,0.000146,0.000117,8.6E-05,4.6E-05,0.000172,3.2E-05,0.000237,7E-05,7.1E-05,6.4E-05,3.2E-05,4.2E-05,0.000669,0.000153,4.9E-05,0.054282,1.2E-05,0.000205,0.089102,8.7E-05,3.8E-05,3.1E-05,4.8E-05,7.1E-05,0.141468,4.2E-05,7.3E-05,4.4E-05,3.3E-05,9.1E-05,6.1E-05,3.7E-05,5.8E-05,5.5E-05,6.9E-05,0.000253,0.000127,3.8E-05,2.3E-05,2.9E-05,4E-05,0.003731,4.6E-05,3.9E-05,6.5E-05,5.4E-05,0.000101,9.9E-05,0.027311,7E-05,0.48788,7E-05,8.1E-05,3.6E-05,6.1E-05,6E-05,0.003803,7.9E-05,f3w957b7,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3w957b7,Essays on worker value and contracts in team environments,2015,"Zimmerfaust, Thomas Paul","University of California, Santa Barbara. Economics",Peter Kuhn,English,13.6862230840245,21.7955977202471
5,205,5,33,0.257048,0.000282,0.000522,0.000321,0.000368,0.000218,0.000235,0.000379,0.44005,0.000276,0.000622,0.000238,0.000237,0.000178,0.000671,0.000538,0.000398,0.000213,0.000792,0.000148,0.001091,0.000324,0.000325,0.000296,0.000148,0.000191,0.003077,0.000703,0.000227,0.000377,5.3E-05,0.000944,0.082598,0.000401,0.249377,0.000143,0.000221,0.000324,0.027445,0.031341,0.000337,0.000201,0.00015,0.000417,0.000279,0.000171,0.000266,0.000253,0.000318,0.001165,0.000584,0.000174,0.000106,0.000135,0.000183,0.001577,0.000213,0.000178,0.000299,0.000246,0.000466,0.000456,0.000969,0.00032,0.000384,0.00032,0.000372,0.000164,0.000279,0.000275,0.142085,0.000364,f3g73bv1,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3g73bv1,Reducing Prejudice with Labels : Shared group memberships attenuate implicit bias,2015,"Scroggins, William Anthony","University of California, Santa Barbara. Psychological and Brain Sciences",Diane M. Mackie,English,5.44072822169138,28.6085507769176
6,206,28,15,0.11897,9.1E-05,0.000168,0.000103,0.000119,7E-05,7.6E-05,0.000122,0.021352,0.055308,0.02028,7.7E-05,7.6E-05,5.7E-05,0.000216,0.000173,0.000128,6.9E-05,0.000255,4.8E-05,0.000352,0.000104,0.000105,9.6E-05,4.8E-05,6.2E-05,0.096371,0.055446,7.3E-05,0.005142,1.7E-05,0.000304,0.011562,0.000129,5.6E-05,4.6E-05,7.1E-05,0.065364,0.234744,6.2E-05,0.000109,6.5E-05,0.005068,0.000135,9E-05,5.5E-05,8.6E-05,8.1E-05,0.000103,0.045555,0.000188,5.6E-05,3.4E-05,4.4E-05,5.9E-05,0.020588,6.9E-05,5.7E-05,9.6E-05,7.9E-05,0.00015,0.291304,0.030432,0.000103,0.000124,0.000103,0.00012,5.3E-05,9E-05,8.9E-05,0.035755,0.000117,f39p2ztk,https://www.alexandria.ucsb.edu/lib/ark:/48907/f39p2ztk,Some Contributions to Nonparametric Bayesian Methods,2015,"Lin, Junjing","University of California, Santa Barbara. Statistics and Applied Probability",Sreenivasa Rao Jammalamadaka,English,28.6758175966926,12.8487876881902
7,207,30,30,0.301063,7.4E-05,0.008293,8.4E-05,9.6E-05,5.7E-05,6.2E-05,9.9E-05,0.00919,7.2E-05,0.000163,6.2E-05,6.2E-05,4.7E-05,0.045036,0.000141,0.000104,5.6E-05,0.004286,3.9E-05,0.000286,8.5E-05,8.5E-05,7.8E-05,3.9E-05,5E-05,0.000806,0.000184,5.9E-05,0.004177,0.281411,0.159298,0.001237,0.004183,0.077532,3.7E-05,5.8E-05,8.5E-05,0.06836,0.004128,8.8E-05,5.3E-05,0.053056,0.000109,7.3E-05,4.5E-05,7E-05,0.020457,8.3E-05,0.000305,0.000153,4.6E-05,2.8E-05,3.5E-05,4.8E-05,0.110525,5.6E-05,4.7E-05,7.8E-05,6.4E-05,0.093921,0.00012,0.000254,8.4E-05,0.000101,8.4E-05,9.7E-05,4.3E-05,7.3E-05,7.2E-05,0.049439,9.5E-05,f38p5xp6,https://www.alexandria.ucsb.edu/lib/ark:/48907/f38p5xp6,Emotional Ethics in Middle English Literature,2015,"Megna, Paul","University of California, Santa Barbara. English",L.O. Aranye Fradenburg,English,29.8952902222271,25.8978963122129
8,208,5,37,0.343856,0.000184,0.000341,0.00021,0.000241,0.000143,0.000154,0.000248,0.369161,0.00018,0.000407,0.000156,0.000155,0.000116,0.000438,0.000352,0.00026,0.000139,0.020883,9.7E-05,0.000713,0.000212,0.000212,0.000194,9.7E-05,0.000125,0.002012,0.00046,0.000148,0.000247,3.5E-05,0.102445,0.013271,0.000262,0.000114,9.3E-05,0.000145,0.000212,0.140137,0.000125,0.000221,0.000132,9.8E-05,0.000273,0.000182,0.000112,0.000174,0.000165,0.315874,0.000762,0.000382,0.000114,7E-05,8.9E-05,0.00012,0.001031,0.000139,0.000116,0.000195,0.000161,0.000305,0.020664,0.000634,0.000209,0.000251,0.000209,0.000243,0.000107,0.000182,0.00018,0.001248,0.000238,f36t0jt9,https://www.alexandria.ucsb.edu/lib/ark:/48907/f36t0jt9,The 'Golden Age' of Women on Primetime Television? A Stereotype Content Model Approach to the Content Analysis of Media Figures,2015,"Sink, Alexander Cameron","University of California, Santa Barbara. Communication",Dana Mastro,English,5.23547508853741,32.1840129355558
9,209,31,7,0.272568,8.4E-05,0.000156,9.6E-05,0.00011,6.5E-05,7E-05,0.000114,0.038531,8.3E-05,0.000187,7.1E-05,7.1E-05,5.3E-05,0.000201,0.000161,0.000119,6.4E-05,0.000237,4.4E-05,0.000327,9.7E-05,9.7E-05,8.9E-05,4.4E-05,5.7E-05,0.211001,0.084242,6.8E-05,0.000113,1.6E-05,0.000283,0.001416,0.00012,0.508911,4.3E-05,6.6E-05,9.7E-05,0.134274,5.7E-05,0.000101,6E-05,4.5E-05,0.000125,8.4E-05,5.1E-05,8E-05,7.6E-05,9.5E-05,0.000349,0.000175,5.2E-05,3.2E-05,4.1E-05,5.5E-05,0.000473,6.4E-05,5.3E-05,9E-05,7.4E-05,0.00014,0.000137,0.00029,9.6E-05,0.000115,9.6E-05,0.000112,4.9E-05,0.014089,8.2E-05,0.000572,0.000109,f34j0c94,https://www.alexandria.ucsb.edu/lib/ark:/48907/f34j0c94,Scalable automated evasive malware analysis,2015,"Kirat, Dhilung Hang","University of California, Santa Barbara. Computer Science","Giovanni Vigna, Christopher Kruegel",English,31.6998991246778,6.10969690260762
10,210,1,4,0.268039,0.00014,0.046697,0.000159,0.000183,0.000109,0.000117,0.000188,0.017441,0.000137,0.000309,0.000118,0.000118,8.8E-05,0.000333,0.216977,0.000198,0.000106,0.000393,7.3E-05,0.070199,0.000161,0.000161,0.000147,7.3E-05,9.5E-05,0.001529,0.000349,0.000113,0.000187,2.6E-05,0.000469,0.010087,0.000199,8.7E-05,0.054248,0.00011,0.007901,0.152952,9.5E-05,0.000168,0.0001,0.116169,0.000207,0.000139,8.5E-05,0.000132,0.000126,0.031117,0.000579,0.00029,8.7E-05,5.3E-05,6.7E-05,9.1E-05,0.000784,0.000106,8.8E-05,0.000149,0.000122,0.000231,0.000227,0.000482,0.000159,0.000191,0.000159,0.093061,8.2E-05,0.000138,0.000136,0.171221,0.000181,f3j67f4n,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3j67f4n,Ask Him If You're Being Detained : Bystander resistance in street police encounters,2015,"Matthews, Katherine D.","University of California, Santa Barbara. Sociology","Geoffrey Raymond, Nikki Jones",English,0.883521809960062,3.38689626958078
