"","identifier","topic_num","weight","Department","identifier1","topic_num1","weight1","Department1","source","target"
"1","f3639mxn","topic19",0.00034,"Communication","f3hx19wh","topic19",0.000432,"Sociology",369,801
"2","f30k26j2","topic7",0.006138111539,"Mechanical Engineering","f36t0jn2","topic7",0.1797234961,"Education",36,270
"3","f3w093vq","topic7",0.06714589301,"Chemical Engineering","f3xd0zv3","topic7",0.004690904307,"English",1489,1481
"4","f3dr2smf","topic19",0.000613,"Psychology","f3qv3jq3","topic19",0.000284,"Ecology, Evolution, and Marine Biology",767,1146
"5","f3pn93hx","topic19",0.005746591613,"History","f3ww7ftm","topic19",0.001292208253,"Spanish and Portuguese",1217,1452
"6","f32n50d7","topic19",0.000389,"Physics","f3d798jt","topic19",0.01435486967,"Molecular, Cellular and Developmental Biology",162,586
"7","f3qn64xw","topic7",0.09765008735,"Statistics and Applied Probability","f3s46pzd","topic7",0.001543394694,"Film and Media Studies",1277,1223
"8","f34b2zhj","topic7",0.3549475525,"Education","f3j964hh","topic7",0.001172189036,"Chemical Engineering",264,823
"9","f36971q7","topic17",0.000241,"Chemistry","f39p2zkf","topic17",0.000434,"Electrical and Computer Engineering",380,430
"10","f3707zkt","topic25",0.02852579589,"Sociology","f3dj5ck3","topic25",0.1502851821,"Computer Science",420,599
"11","f31c1v12","topic25",0.02604023916,"Ecology, Evolution and Marine Biology","f36h4fb6","topic25",0.006682530737,"Education",84,251
"12","f3f18wqc","topic25",0.04791812784,"Media Arts and Technology","f3v122z1","topic25",0.03382845759,"Education, Joint Program Cal Poly SLO",786,1342
"13","f32j691c","topic26",0.03469169425,"Geography","f3vt1q2s","topic26",0.01969176985,"Electrical and Computer Engineering",157,1382
"14","f3707znq","topic25",0.02641118524,"History","f3cn721p","topic25",0.04869256287,"Electrical and Computer Engineering",422,547
"15","f31z42c1","topic7",0.03107990729,"Feminist Studies","f3513wb2","topic7",0.1149424345,"Environmental Science and Management",121,175
"16","f3474808","topic25",0.008541370827,"Statistics and Applied Probability","f3cf9n73","topic25",0.02254258864,"Sociology",255,539
"17","f3736p2f","topic25",0.04760339361,"Music","f3f18wv5","topic25",0.001450335801,"Sociology",428,634
"18","f3dv1gvh","topic25",0.02316460754,"Religious Studies","f3qc01gs","topic25",0.05659419745,"Economics",771,1117
"19","f3pk0d8d","topic7",0.01413276412,"Electrical and Computer Engineering","f3vq30s7","topic7",0.02429838734,"Global and International Studies",1214,1379
"20","f3ms3qp3","topic7",0.01510293189,"Electrical and Computer Engineering","f3r49p0p","topic7",0.009961906314,"Materials",1110,1166
"21","f3vx0dhj","topic25",0.09327078638,"Electrical and Computer Engineering","f3zc8115","topic25",0.001090163033,"Ecology, Evolution, and Marine Biology",1486,1540
"22","f3cj8bmz","topic7",0.004763332101,"East Asian Languages and Cultures","f3n877wn","topic7",0.03439260618,"Communication",693,994
"23","f3bz6465","topic7",0.1149992912,"Environmental Science and Management","f3jh3j5x","topic7",0.01051493654,"Classics",660,833
"24","f3h993bp","topic7",0.06703416928,"Education","f3pg1pqw","topic7",0.002661972705,"English",915,1064
"25","f36m34sz","topic25",0.002462975809,"Global and International Studies","f3zg6qf3","topic25",0.000967,"Political Science",396,1546
"26","f3bp00zb","topic17",0.000218,"Electrical and Computer Engineering","f3w66j0t","topic17",0.000419,"Physics",640,1412
"27","f39g5jwk","topic7",0.3198571568,"Education","f3xg9p31","topic7",0.009553241287,"Physics",569,1483
"28","f3c24tdq","topic25",0.001932811326,"Physics","f3p8491f","topic25",0.0719563556,"Geography",664,1051
"29","f38p5xf2","topic17",0.000197,"Chemical Engineering","f3q81b85","topic17",0.000178,"Chemistry and Biochemistry",519,1113
"30","f33x84ms","topic7",0.1290378139,"Ecology, Evolution and Marine Biology","f34x55sm","topic7",0.002634302913,"Chemistry",236,170
"31","f3fb513x","topic24",0.004494937935,"Religious Studies","f3q23x60","topic24",0.009138223193,"Biomolecular Science and Engineering",804,1098
"32","f300009t","topic19",0.00114441876,"Molecular, Cellular and Developmental Biology","f3bg2kxm","topic19",0.000446,"Electrical and Computer Engineering",7,476
"33","f389141v","topic6",0.02040543956,"Statistics and Applied Probability","f3n58jkp","topic6",0.02825600493,"Chemistry",501,991
"34","f39021pq","topic7",0.01421045251,"Linguistics","f3k35rtv","topic7",0.00085,"Molecular, Cellular, and Developmental Biology",536,870
"35","f32j68vq","topic21",0.004080044388,"Electrical and Computer Engineering","f3kw5d0w","topic21",0.5664158909,"Electrical and Computer Engineering",155,912
"36","f36h4fb6","topic25",0.006682530737,"Education","f3736ntw","topic25",0.1331874406,"Statistics and Applied Probability",388,284
"37","f3959frz","topic7",0.00150669199,"Electrical and Computer Engineering","f3xd0znd","topic7",0.1441897167,"Environmental Science and Management",555,1477
"38","f30v89zq","topic25",0.1147982802,"Materials","f3542kpg","topic25",0.04520927375,"Molecular, Cellular and Developmental Biology",56,179
"39","f34b2z7z","topic7",0.002199844775,"Electrical and Computer Engineering","f3bv7dkr","topic7",0.01160337271,"Linguistics",259,501
"40","f3fb513x","topic7",0.001125344158,"Religious Studies","f3n877x3","topic7",0.01108945648,"Sociology",804,995
"41","f3p848vs","topic17",0.004905733115,"Geography, Joint Program SDSU","f3x928f5","topic17",0.000272,"Computer Science",1193,1475
"42","f3j10183","topic7",0.03305109655,"Materials","f3m906kk","topic7",0.005991410667,"History",958,934
"43","f33776t1","topic9",0.1091708192,"Chemistry","f3kh0kgj","topic9",0.01902860322,"Geological Sciences",196,891
"44","f33x84q4","topic25",0.1674223115,"Biomolecular Science and Engineering","f3cv4fvx","topic25",0.02437814636,"Geography",237,561
"45","f31r6nhj","topic7",0.006917210104,"Physics","f3q52mqn","topic7",0.001183133588,"French",108,1104
"46","f33b5x7c","topic25",0.1716235797,"Media Arts and Technology","f3vm496p","topic25",0.009880309226,"Global and International Studies",202,1370
"47","f39k486z","topic7",0.09072056849,"Anthropology","f3m906kk","topic7",0.005991410667,"History",574,934
"48","f3ft8j0r","topic25",0.5079121933,"Electrical and Computer Engineering","f3v98622","topic25",0.0785506753,"Geography",829,1357
"49","f38k772k","topic26",0.1214235848,"Computer Science","f3vx0dhj","topic26",0.000131,"Electrical and Computer Engineering",514,1390
