identifier,,Unnamed: 0,identifier,topic_num,weight,Department,title,identifier1,topic_num1,weight1,Department1,title1,source,target
f3000017,3178,3179,f3000017,topic7,0.07194936198,Sociology,These Are a Few of My Favorite Things: The Cultural Meaning of the Tree,f3s180gk,topic7,0.01028002561,Materials,m-Plane Homoepitaxy and Equilibrium Crystal Shapes of Gallium Nitride by Hydride Vapor Phase Epitaxy,1,1371
f3000017,2762,2763,f3000017,topic7,0.07194936198,Sociology,These Are a Few of My Favorite Things: The Cultural Meaning of the Tree,f3hd7sn8,topic7,0.002873228373,East Asian Languages and Cultures,"How Far Is Beijing? Gender and the Capital in Tie Ning's How Far Is Forever and ""Night of the Spring Breeze""",1,921
f3000017,2793,2794,f3000017,topic7,0.07194936198,Sociology,These Are a Few of My Favorite Things: The Cultural Meaning of the Tree,f3hx19nc,topic7,0.000898,Chicana and Chicano Studies,Oppositional Performance: A Social-Historical Analysis of the Avant-Garde Comedy Troupe Chicano Secret Service,1,952
f3000017,675,676,f3000017,topic25,0.01735861016,Sociology,These Are a Few of My Favorite Things: The Cultural Meaning of the Tree,f357194n,topic25,0.0009140000000000001,Education,Training Paraprofessionals to Improve Social Skills in Students with Autism Spectrum Disorders,1,312
f3000017,1078,1079,f3000017,topic25,0.01735861016,Sociology,These Are a Few of My Favorite Things: The Cultural Meaning of the Tree,f3dz06d1,topic25,0.02837442584,Electrical and Computer Engineering,Modular decomposition of a metabolic network,1,780
f300002p,4413,4414,f300002p,topic25,0.005365215553,Chemistry,Photophysical and Bioelectronic Investigation and Application of Amphiphilic Phenylenevinylene Oligoelectrolytes,f3hd7smt,topic25,0.001289403021,Global and International Studies,"Persecution and Permanence: Re-Negotiating Brazil's Identity, Religious Intolerance, and Consuming Candomble",2,920
f300002p,5339,5340,f300002p,topic7,0.0100957999,Chemistry,Photophysical and Bioelectronic Investigation and Application of Amphiphilic Phenylenevinylene Oligoelectrolytes,f3154f5z,topic7,0.06437683647999999,Physics,Boundary conditions and unitarity in AdS/CFT,2,71
f300002p,6914,6915,f300002p,topic9,0.3048316917,Chemistry,Photophysical and Bioelectronic Investigation and Application of Amphiphilic Phenylenevinylene Oligoelectrolytes,f34q7rx4,topic9,0.09508641184000001,Physics,Nonlinear Exciton Dynamics in IndiumGalliumArsenic Quantum Wells,2,283
f300002p,6404,6405,f300002p,topic7,0.0100957999,Chemistry,Photophysical and Bioelectronic Investigation and Application of Amphiphilic Phenylenevinylene Oligoelectrolytes,f3pg1pxk,topic7,0.06120442727000001,Geological Sciences,Paleoceanography of the Eastern Equatorial Pacific: Insights from a new Carnegie Platform stratigraphic record,2,1224
f300002p,5238,5239,f300002p,topic6,0.058351386150000004,Chemistry,Photophysical and Bioelectronic Investigation and Application of Amphiphilic Phenylenevinylene Oligoelectrolytes,f3qv3jmr,topic6,0.43582432090000006,Chemistry,A Journey Through the Chemistry of Reactive Intermediates: From a Trimethylenemethane Diyl to Electrochemically-Generated Radical Ions,2,1300
