key,title,description,place,place2,place3
1359,"Mississippi West: Race, Politics, and Civil Rights in California's Central Valley, 1947--1984","The history of race, politics, and civil rights in California's Central Valley is an important yet understudied aspect of multiracial history in the American West. Kern County and the city of Bakersfield were critical epicenters of civil rights activism during the twentieth century. Simultaneously, an equally active and sometimes hostile, conservative resistance toward labor and civil rights existed in the region. In the immediate post-World War II era, Mexican Americans built racial coalitions with African Americans and white liberals to challenge racial segregation and discrimination in housing and employment. In the ensuing decades, the war on poverty, farmworker, and Chicana/o power movements impacted racial coalition building and civil rights reform in complex ways, including struggles over increased political representation for racial minorities, expansion of rural-migrant health care, and school desegregation. Since World War II through the rise of the modern political right, Mexican immigrants and their descendants shaped rural and urban civil rights reform in California's interior. This dissertation draws upon several archival repositories related to labor and civil rights history in California's Central Valley, including the collected papers of the United Farm Workers (UFW), the Mexican American Legal Defense and Education Fund (MALDEF), the National Association for the Advancement of Colored People Region I, West Coast Branch (NAACP-WC), the Office of Economic Opportunity (OEO), as well as previously unexamined personal paper collections of Bakersfield civil rights leaders and politicians. Referred to pejoratively as ""Mississippi West"", given the county's vibrant history of civil rights activism and antistatist opposition toward civil rights, Kern County is ground-zero for a massive demographic transformation from a white to Hispanic majority; a trend other U.S. regions will experience in the coming decades. The history of race relations, civil rights, and politics in the region sheds light on the importance of a burgeoning Latino population, as well as marks a bellwether for future U.S. social and political trends in California and beyond.",Bakersfield,,
270,The consequences of fishing-induced changes in predator size for predator-prey interactions,"Body size has long been recognized as a key driver of species interactions and of an individual's role in the ecosystem. Body size determines the amount, species, and sizes of prey resources an individual can consume, as well as its own susceptibility to predators. Human harvest of predators can result in severe truncations in predator body size that can have cascading consequences on food webs. Where small and large individuals of the same species differ greatly in their diets, as is common in aquatic systems, the absence of large predators may functionally eliminate a key predator-prey linkage. Recently management agencies have begun to include size-based metrics as targets. As various harvest strategies differentially affect predator size and biomass, the research presented in this dissertation aims to understand the conditions under which truncations in predator size structure will result in additional loss of predator function than would be predicted from predator biomass alone, and where it will therefore be important to maintain predator size distributions. I specifically examine how the type of ontogenetic shift in diet (e.g. prey species or size class), and the shape of the diet switching function (e.g. gradual or abrupt) will affect the consequences of the loss of the largest predators, and the relative utility of various management strategies in maintaining predator function. In Chapter 1, I examined the tradeoffs between fishery yield and predator function in the ecosystem when preferentially fishing the largest predators. I found that fisheries that delay harvest until large predator sizes maximize fishery yield but that this virtually eliminates predation on focal prey eaten late in life history when diet shifts are abrupt and occur at or after the size at maturity. In this case, there is a clear tradeoff between fisheries and ecosystem objectives. Instead, where shifts in diet toward late prey are more gradual, targeting the largest predators can achieve a win-win by maximizing yield and achieving predation rates similar to that with other strategies that harvest predators earlier. As such, the optimal fishing strategy to achieve both single-species and ecosystem benefits depends strongly on the interaction between the fishery selectivity pattern and the changes in predator diet with size. In Chapter 2, I quantified the size-dependence of the predator-prey interaction between herbivorous sea urchins and one of their important predators in southern California kelp forests, California Sheephead. I further examined the consequences of changes in sheephead size and abundance in marine reserves at Catalina Island on size-specific urchin mortality in field predation trials. In my observations of predation of sheephead on urchins, sheephead smaller than 20cm TL do not eat urchins of any size. Thereafter, small sheephead only consumed small urchins, with larger sheephead sizes needed to successfully consume larger urchins, and the largest sheephead preferentially targeted the largest urchins. Inside marine reserves at Catalina, the greater abundance of large sheephead in combination with the observed size-specific capacities for urchin predation led to higher urchin mortality with marine reserve protection, particularly for the largest urchins. Ultimately, by restoring predator size structure, reserves may serve to enhance the resilience of southern California kelp forests. In Chapter 3, I examined how variation in predator body size distributions and biomass affects the likelihood of size escapes in situations where predators begin eating prey at some threshold size and thereafter consume increasingly larger prey. We focus on California sheephead because of the size dependence of its interaction with herbivorous sea urchins (Chapter 2), and the natural variation in demography where sheephead achieve smaller maximum sizes but higher biomass in the south of its range. We evaluate the consequences of smaller predator body size on top-down control of urchin populations in two scenarios: 1) when overall predator abundance is the same as the population with larger body size, and 2) when predator biomass is the same. With the same numbers of predators, top-down control was significantly weakened by the lack of large sheephead. However, when sheephead biomass was maintained, the absence of large sheephead did not lead to greater urchin abundance, despite lower predation rates overall and much lower predation on large urchins. Higher predation rates on the smallest urchin size classes served as a bottleneck that kept total urchin population at similar levels and prevented a size escape for the largest urchins. This suggests that where predators switch prey size classes in the same species, the loss of the largest individuals does not inherently result in weaker top-down control, if biomass is maintained, but effective control is sensitive to prey growth rates. The results of this research suggest that the ignoring shifts in predator size structure can under-estimate the effects of fishing on predator function, especially when large predators eat different species than their smaller counterparts. High predator biomass can compensate when diet shifts are to different prey size classes of the same species. Concordance between diet shifts and fishery selectivity can help identify where it will be important to consider changes in predator size in addition to biomass.",Concord,,
911,"Truth, Justice, and the Performative Way! Superhero Performance and the Battle for Social Justice in Twenty-First Century America","Who is Barack Obama? Contrary to the rumors you have heard, I was not born in a manger. I was actually born on Krypton, and sent here by my father, Jor-El, to save the planet Earth. ---Barack Obama, Oct. 17, 2008. Appearing simultaneously in major blockbuster films, Broadway musicals, and many other media formats, the ubiquitous superhero remains one of America's most enduring cultural icons. Shrewdly, Obama spoke the words above just before the 2008 election and hitched his political performance to the popular mythology of Superman. Multiple representations of ""Super-Obama"" soon followed across diverse media platforms as he transformed from mild-mannered candidate to a political superhero charged with saving America. Appropriating the iconography of Superman, Obama tapped into that famous mantra of ""truth, justice and the American way,"" and joined the growing social practice of Americans portraying themselves as superheroes to challenge unjust assumptions about class, gender, sexual identity, and race. In shedding their seemingly disempowered everyday identities and donning the theatricalized forms of their pop cultural heroes, these performers restage themselves as the physical and political ideals of Americanism. Obama, in casting himself as Superman, laid claim to the ultimate jingoistic representation of white heterosexual maleness despite being a biracial liberal whom his opposition portrays as ""soft"" on terrorism. I argue that by embodying the superhero, Barack Obama and others distanced from that supposed ideal of Americanism, turn popular myths back on those in power. They debunk the ""truth"" of America's social divisions, demand greater advances in social justice, and explore a new American way that subverts the social inequalities of twenty-first century America. Deceptively multifaceted, the superhero emerged as a uniquely American literary creation, though one largely written off as escapist fare for puerile minds. As this project demonstrates, the superhero actually represents a complex unraveling of embedded mythologies including those of American exceptionalism and the American Dream. Superheroes possess surprising ambiguity as equally strong icons of social progress and also brash defenders of the social status-quo. Most scholarship on the superhero focuses on mediatized appearances (Jenkins, Gordon) or a combination of comic book history and semiotics (Eco, Bukatman, Singer). I build upon their methods by applying theories of performance and theatricality as tools that visually modify and overwrite reality with illusion (Davis & Postlewait, Burns). Ultimately, I investigate how adopting the superhero form allows Americans to combat social inequities in the age of Obama. Though some forces assert that Obama's presidency proves that boundaries of class, gender, sexual identity, and race are no longer insurmountable, I expose that these inequalities remain and are being restaged in the rhetoric of superheroes. By embodying the anarchist ""hero"" Citizen V from the comic book and film V for Vendetta, some members of the Occupy Movement threaten revolution while demanding the end of economic inequalities. Additionally, my ethnographic study at Comic-Con International, the world's largest convention celebrating the popular arts, critiques the gender-bending and race-bending practice of ""crossplayers,"" costumed attendees who switch the genders and perceived races of popular superheroes in their performances and subvert associations of white maleness. Similarly, I argue that the superhero allows gay revelers at superhero-themed parties to deny their marginalized status by adopting and distorting the masculine ideal he represents. I then illustrate how even Barack Obama's rise to the presidency utilized superhero imagery and its associations with nationalism and physical power, providing a biracial candidate with access to the utopic whiteness of Superman. My dissertation brings vital scholarly attention to the ways in which superhero performance may challenge popular culture's continual re-inscription of the values of white, heterosexual maleness. I expose that the superhero's prevalence in popular culture grants all Americans a shared language and cultural currency that can be used even by the disenfranchised to make their voices heard. Thus these progressive superhero performances work as benchmarks by which we may measure and question the state of social equality in America today.",Davis,,
1405,"The Global Potentials for Humanized Birth---Birth Stories from the Yayasan Bumi Sehat Birth Clinic in Bali, Indonesia","Since the natural childbirth movement of the 1960's and 1970's in the United States and in parts of Europe, many scholars, activists, doctors and midwives have exposed the failures of the Western, medical model of birthing to provide women-centered care in childbirth (Arms, 1975; Davis-Floyd, 2011; Edwards, 2005; Gaskin, 2003; Jordan, 1978; Klaus, 2002; Mongan, 2005; Odent, 2002; Simkin, 2008; Wagner, 2001). However, during the 20th and 21st centuries, as international development processes and hegemonic global norms have been increasingly disseminated through the processes of globalization, the Western medical model for birthing has spread around the globe (Davis-Floyd, 1997; Jordan, 1978). This thesis asks what the global potentials are for humanized birth as a means to reduce maternal mortality in a women-centered way. Through the collection of birth stories from 13 women who birthed at the Yayasan Bumi Sehat Birth Clinic in Bali, Indonesia at the end 2011, the value of the humanized birth model is explored as it contrasts the Western, technocratic, medical model of birth (Bumi Sehat Foundation, 2012; Davis- Floyd, 200; Umenai et al. 2001; Wagner, 2001). In this thesis, women's stories are valued as research evidence with particular relevance to policy guidance in support of the humanized birthing method (Carolan, 2006; VandeVusse, 1999).",Davis,,
1467,We're Not Alone: An Analysis of the Relationship Between Program Design and Teacher Candidate Interaction and Support in a Teacher Education Program Employing a Cohort System,"There is very little evidence regarding the specifics of how teacher candidates in preservice teacher education programs employing a cohort system interact and support one another. Similarly, there have been calls for more evidence of the specifics of the socialization process of teacher candidates, especially as it relates to the relationship between program design and peer interaction and support within a cohort. Utilizing a situated learning perspective and ethnographic tools (Green, Dixon & Zaharlick, 2002), observations and interviews were conducted of teacher candidates and their instructors and supervisors, both at the university and in the partner schools, over the course of a full academic year. Using the full year of field experience as a lens for the analysis, a recursive relationship between teacher education program design, peer interaction and support and the socialization process was found. The willingness and ability of the teacher candidates to support and learn from one another was facilitated by certain elements of program design. First, the number and variety of cross-disciplinary, mini-cohorts the program placed them in over the course of the year put them in close proximity to a large number of their peers, exposing them to a wide range of expertise. Second, the safe spaces created for them by clinical faculty at the partner schools and by program administration and faculty at the university enabled them to discuss, reflect, and problem-solve openly. Finally, the program design gave teacher candidates multiple support options throughout the year, rather than just one cooperating teacher, and the evidence showed that the teacher candidates explored those multiple options. The findings point to the cohort system as a design that can facilitate peer interaction and support. For programs that do not employ a cohort system, the findings indicate that peer interaction and support is likely to result from encouraging collaboration and communication across disciplines. The need for teacher candidates to be socialized into school cultures by mentors familiar with the particulars of the school and placed in mini-cohorts to share their experiences is also a finding that cuts across all teacher education programs.",Dixon,,
237,Seismic Noise Analysis to Constrain Shallow Velocity Structure in the southern San Andreas Fault Region,"The seismic velocity structure in the southern San Andreas Fault region is characterized by a known, distinct seismic velocity contrast on opposite sides of the fault, with a thick sedimentary region on the west side (Salton Sea area). Reverberations would affect the duration of shaking for El Centro, Mexicali, and other communities in the Coachella Valley and Imperial Valley. Furthermore, there are other areas where deep basins are bounded by faults that could have similar effects. Therefore, being able to determine the 3D structure is a critical facet of assessing the overall seismic hazard for structures on such basins. By utilizing the particle motion of surface waves, we are able extract useful information about the S-wave velocity structure. To accomplish this, we measured Rayleigh-wave ellipticity of continuous broadband data from 2010 to 2014 for 67 stations within the Southern California Seismic Network (SCSN). Measurements of Rayleigh-wave ellipticity were computed as the ratio between the vertical and horizontal amplitudes. Regional variations in the Rayleigh-wave ellipticity measurements at frequencies of 0.10 Hz up to and including 0.30 Hz illuminate small ellipticity values (i.e. horizontal elongation in Rayleigh-wave particle motion) across the entire frequency band in the regions specific to the thick sedimentary region. In this region, minimum ellipticity values (<0.20) observed at 0.10 Hz, 0.15 Hz, and at 0.20 Hz show a gradual increase up to 0.60 between 0.25 Hz to 0.40 Hz. In most areas exterior to the thick sedimentary region, ellipticity values are generally constant across the frequency band and are significantly higher (>0.90). The observed, small ellipticity values, which are characteristic of a slow velocity layer at shallow depths (upper 5-10 km), could have significant implications on the S-wave velocity structure. As the ZH-Ratio method is highly sensitive to the near-surface structure, combination of the ellipticity data with phase velocity data measured via noise cross-correlation could provide further compelling insight in the shallow S-wave velocity structure, particularly in the upper 5 km.",El Centro,,
60,Effects of fish movement and environmental variability in the design and success of a marine protected area,"Marine Protected Areas (MPA) are broadly used to protect marine ecosystems, restore biomass, and increasingly as tools in fisheries management for benthic stocks. Nevertheless, MPAs are seldom used to target pelagic species due the challenges of designing an effective MPA in a highly dynamic environment. It is believed that highly mobile organisms will get few benefits, since they leave the protected area too frequently. One possible solution is to compensate for such movement with larger MPAs. Nevertheless, uncertainty about the benefits in the face of vagaries about fish movement make it unlikely that such efforts would be successfully pursued. Although it is a generally accepted that MPAs provide multiple benefits if well designed, empirical demonstrations of benefits from MPA are hard to obtain. They require long term evaluations, and as a consequence, comparisons between alternative MPA designs are almost nonexistent. Simulation models provide an alternative to empirical approaches that allow tests of designs and forecasts of potential outcomes. To date, most of the simulation models of MPAs have been developed for benthic systems, where simplified assumptions about fish and fisherman movement are reasonable. Fortunately, with the advent of more realistic fish movement models, new approaches are now possible that can combine complex individual-based models of movement, population dynamics and virtual MPA systems. The use of these new complex simulation models can guide the optimization of MPA design to increase both stock sizes and fisheries yields. The goal of the research presented in this dissertation is to study the potential of a large MPA to protect a pelagic stock and determine how fish movement characteristics and complex environmental dynamics influence the optimal design criteria for a successful pelagic MPA. The findings are timely given increasing interest in developing large no fishing zones to protect overfished pelagic stocks, especially for those taxa whose distribution spans more than one exclusive economic zone or resides in international waters. For this purpose I implemented a simulation model that incorporates detailed fish movement and their responses to complex environmental forcing to study the effect of fish movement on the efficacy of MPAs of different size and location. (Abstract shortened by ProQuest.).",Fortuna,,
169,Programming Environments for Children : Creating a Language that Grows with you,"Block-based programming environments let children create complex, visual programs without worrying about compiling or syntax errors. This paper describes the research studies completed in the design and implementation of block-based programming environments created alongside the development of KELP-CS, a computational thinking curriculum for 4th --- 6th grade. Both the programming environment and curriculum were piloted in schools across California as part of a design-based research project. Recent efforts have increased the number of elementary and middle schools teaching computer science --- but do they have the right tools for the job? Elementary school teachers are usually responsible for teaching all subjects, and often do not have a background or training in computer science. Fourth through sixth grade students are still developing their math and reading skills as well as learning how to type and use computers. Fortunately, computer science is one of the only domains that can adapt to meet the needs of the user. Unlike math or physics, computer science has few constants; computers, languages, and development environments have changed over the last decades and will continue to evolve. How can programming languages and environments better meet the needs of upper elementary classes learning computer science? This paper looks at designing block-based programming environments for upper elementary school students as a part of a larger research study on early computer science education.",Fortuna,,
730,El otro religioso en la literatura decimononica: Protestantes en la novela espanola (1850-1890),"During the time period studied, religious liberty and Catholicism's role as a unifying force in Spanish society and an essential element of Spanish identity are fervently contested topics. The historical vicissitudes of the period---an unsuccessful attempt to introduce religious freedom during the Bienio Liberal (1854-56), the Revolution of 1868 and introduction of religious freedom in the Constitution of 1869, the evanescent First Spanish Republic, the restoration of the Bourbon monarchy and limiting of religious freedoms in the Constitution of 1876---frame the presence of competing ideologies. In this context, Protestant missionaries and colporteurs actively proselytize in Spain, a generation of Spanish Protestant leaders emerges, and the first congregations are established. In chapters dedicated to each author, the study investigates the representation of the Protestant ""other"", utilizing categories developed by Tzvetan Todorov to describe the encounter with the religious subaltern in the New World. While examining the function of Protestants in the texts, the study also compares and contrasts the literary figures with historical representatives of the period. The dissertation reveals that similar responses toward the Protestant ""other"" emerge in authors of different ideological persuasions and literary commitments. Whether informed by costumbrismo, romanticism, realism or naturalism, the novels inevitably advance the authors' ideological commitments, misrepresent the religious other, and/or dismiss Protestantism as a legitimate religious alternative. This dissertation examines representations of Protestants in Spanish novels published between 1850-1890, analyzing ways literary texts construct the religious ""other"". By examining novels of four important 19th century Spanish authors---Fernan Caballero (El exvoto and Lady Virginia), Jose Maria Blanco y Crespo (Luisa Bustamante, o La huerfana espanola en Inglaterra ), Benito Perez Galdos ( Rosalia, Fortunata y Jacinta, and Torquemada en la hoguera) and Emilia Pardo Bazan (La Tribuna and La prueba)---who represent distinct literary movements and ideological commitments, the study highlights ways in which the representations of Protestants advances the authors' convictions, distorts the historical presence of Protestants during the time period, and/or affirms---explicitly or implicitly, intentionally or inadvertently---notions that exclude this religious minority from full membership in society or portray Protestantism as incompatible with Spanish national identity.",Fortuna,,
1323,Towards Enabling Better Understanding and Performance for Managed Languages,"Computer systems today are ubiquitous and come in variety of forms. On the low end, there are resource-constrained battery-powered handheld devices that are widely used such as smart phones, tablets and netbooks. On the high end, there are powerful highly parallel multi-core devices such as desktops, workstations and servers. However, the diversity of these devices and the the heterogeneity of their platforms complicate software development. Developers must possess knowledge of a variety of architectures, platforms and languages in order to build, optimize, tune, and deploy software efficiently. Fortunately, there are means to facilitate software development across platforms. Revision Control (RC) systems enable concurrent collaboration between many developers with different languages and platforms expertise. Additionally, automated software deployment is made easier via across-platform software repositories that provide updates, fixes and patches. Finally, advances in managed programming languages (e.g. Java, C, Python, Ruby, JavaScript) and their managed runtime environments (MREs) simplify portable software development by abstracting the details of the target platforms. Despite their benefits, these remedies complicate understanding of software behavior and extracting performance. First, RC systems allow source code changes to be made in isolation with no regard to how different modifications interact to affect behavior and performance. Second, the ease of software deployment leads to different versions of the software being used by millions of users over diverse platforms making it difficult to reason about how the application will be used ""in the wild"". Third, MREs abstract the hardware, hinder performance understanding, and advanced MREs usually have high startup cost and footprint. They are also complex to build and maintain, particularly for Dynamic Scripting Languages (DSLs). In this dissertation, we investigate the question of whether we can devise novel profile analysis and collection techniques to address the above drawbacks and enable better understanding and improve performance of managed languages. We answer this question by exploring novel solutions that exploit the use of modern collaboration technologies, open source managed runtime systems, and popular software distribution mechanisms. Our techniques include a performance-aware RC system for Java programs, interpreter-based optimizations and remote compilation framework for DSLs. We describe each of our techniques in detail and present empirical evidence of its efficacy and potential.",Fortuna,,
